Year,Category_EN,Category_AR, Total 
2015,Total number of AIR series Competitions,العدد الإجمالي لمسابقات سلسلة الذكاء الاصطناعي والروبوتات,  1 
2015,Total number of AIR series Categories,العدد الجمالي لفئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  2 
2015,Total number of AIR series Participants,العدد الإجمالي للمشاركين في مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  35 
2015,Number of AIR series Categories which target participants at ages from 6 to 9 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 6 إلى 9 أعوام,  1 
2015,Number of AIR series Categories which target participants at ages from 10 to 13 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 10 إلى 13 أعوام,  1 
2015,Number of AIR series Categories which target participants at ages from 14 to 17 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 14 إلى 17 أعوام,  1 
2016,Total number of AIR series Competitions,العدد الإجمالي لمسابقات سلسلة الذكاء الاصطناعي والروبوتات,  2 
2016,Total number of AIR series Categories,العدد الجمالي لفئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  4 
2016,Total number of AIR series Participants,العدد الإجمالي للمشاركين في مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  731 
2016,Number of AIR series Categories which target participants at ages from 6 to 9 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 6 إلى 9 أعوام,  2 
2016,Number of AIR series Categories which target participants at ages from 10 to 13 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 10 إلى 13 أعوام,  2 
2016,Number of AIR series Categories which target participants at ages from 14 to 17 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 14 إلى 17 أعوام,  2 
2016,Total number of AIR series Coaches,العدد الاجمالي للمدربين في سلسلة الذكاء الاصطناعي والروبوتات,  95 
2016,Total number of AIR series Judges,  العدد الاجمالي للمحكمين في سلسلة الذكاء الاصطناعي والروبوتات,  88 
2016,Total number of AIR series Volunteers,العدد الاجمالي للمتطوعين في سلسلة الذكاء الاصطناعي والروبوتات,  63 
2016,Total number of AIR series Organizers,العدد الاجمالي للمنظمين في سلسلة الذكاء الاصطناعي والروبوتات,  12 
2017,Total number of AIR series Competitions,العدد الإجمالي لمسابقات سلسلة الذكاء الاصطناعي والروبوتات,  2 
2017,Total number of AIR series Categories,العدد الجمالي لفئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  4 
2017,Total number of AIR series Participants,العدد الإجمالي للمشاركين في مسابقات سلسلة الذكاء الاصطناعي والروبوتات,"  1,437 "
2017,Number of AIR series Categories which target participants at ages from 6 to 9 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 6 إلى 9 أعوام,  2 
2017,Number of AIR series Categories which target participants at ages from 10 to 13 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 10 إلى 13 أعوام,  2 
2017,Number of AIR series Categories which target participants at ages from 14 to 17 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 14 إلى 17 أعوام,  2 
2017,Total number of AIR series Coaches,العدد الاجمالي للمدربين في سلسلة الذكاء الاصطناعي والروبوتات,  232 
2017,Total number of AIR series Judges,  العدد الاجمالي للمحكمين في سلسلة الذكاء الاصطناعي والروبوتات,  105 
2017,Total number of AIR series Volunteers,العدد الاجمالي للمتطوعين في سلسلة الذكاء الاصطناعي والروبوتات,  150 
2017,Total number of AIR series Organizers,العدد الاجمالي للمنظمين في سلسلة الذكاء الاصطناعي والروبوتات,  32 
2018,Total number of AIR series Competitions,العدد الإجمالي لمسابقات سلسلة الذكاء الاصطناعي والروبوتات,  6 
2018,Total number of AIR series Categories,العدد الجمالي لفئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  15 
2018,Total number of AIR series Participants,العدد الإجمالي للمشاركين في مسابقات سلسلة الذكاء الاصطناعي والروبوتات,"  2,595 "
2018,Number of AIR series Categories which target participants at ages from 6 to 9 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 6 إلى 9 أعوام,  3 
2018,Number of AIR series Categories which target participants at ages from 10 to 13 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 10 إلى 13 أعوام,  5 
2018,Number of AIR series Categories which target participants at ages from 14 to 17 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 14 إلى 17 أعوام,  7 
2018,Total number of AIR series Coaches,العدد الاجمالي للمدربين في سلسلة الذكاء الاصطناعي والروبوتات,  477 
2018,Total number of AIR series Judges,  العدد الاجمالي للمحكمين في سلسلة الذكاء الاصطناعي والروبوتات,  167 
2018,Total number of AIR series Volunteers,العدد الاجمالي للمتطوعين في سلسلة الذكاء الاصطناعي والروبوتات,  289 
2018,Total number of AIR series Organizers,العدد الاجمالي للمنظمين في سلسلة الذكاء الاصطناعي والروبوتات,  105 
2019,Total number of AIR series Competitions,العدد الإجمالي لمسابقات سلسلة الذكاء الاصطناعي والروبوتات,  7 
2019,Total number of AIR series Categories,العدد الجمالي لفئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات,  20 
2019,Total number of AIR series Participants,العدد الإجمالي للمشاركين في مسابقات سلسلة الذكاء الاصطناعي والروبوتات,"  3,020 "
2019,Number of AIR series Categories which target participants at ages from 6 to 9 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 6 إلى 9 أعوام,  4 
2019,Number of AIR series Categories which target participants at ages from 10 to 13 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 10 إلى 13 أعوام,  5 
2019,Number of AIR series Categories which target participants at ages from 14 to 17 years old,عدد فئات مسابقات سلسلة الذكاء الاصطناعي والروبوتات والتي تستهدف الطلبة من عمر 14 إلى 17 أعوام,  10 
2019,Total number of AIR series Coaches,العدد الاجمالي للمدربين في سلسلة الذكاء الاصطناعي والروبوتات,  801 
2019,Total number of AIR series Judges,  العدد الاجمالي للمحكمين في سلسلة الذكاء الاصطناعي والروبوتات,  172 
2019,Total number of AIR series Volunteers,العدد الاجمالي للمتطوعين في سلسلة الذكاء الاصطناعي والروبوتات,  350 
2019,Total number of AIR series Organizers,العدد الاجمالي للمنظمين في سلسلة الذكاء الاصطناعي والروبوتات,  143 
2019,Total number of AIRseries Specialized Center (training and qualification centers),العدد الاجمالي للمراكز التخصصية (مراكز التدريب والتصفيات) سلسلة الذكاء الاصطناعي والروبوتات,  25 